model_name,epsilon,lambda_weight,mean_ale_m,mean_recall_at_k,mean_ndcg_at_k,mean_gen_f1,mean_citation_correctness
gemma-3-12b-it,5.0,0.8,393.87,0.5125,0.4812,0.4195,0.5923
gemma-3-12b-it,5.0,0.85,392.98,0.5167,0.5054,0.4287,0.556
gemma-3-12b-it,5.0,0.9,393.21,0.5408,0.5088,0.4304,0.5202
gemma-3-12b-it,10.0,0.8,395.9,0.505,0.4834,0.4327,0.5828
gemma-3-12b-it,10.0,0.85,395.9,0.5175,0.4971,0.4356,0.5365
gemma-3-12b-it,10.0,0.9,396.57,0.5183,0.4904,0.4323,0.5025
gemma-3-12b-it,15.0,0.8,396.8,0.5108,0.4821,0.4215,0.591
gemma-3-12b-it,15.0,0.85,396.8,0.525,0.4908,0.4333,0.5478
gemma-3-12b-it,15.0,0.9,396.8,0.495,0.48,0.4298,0.5007
