model_name,epsilon,lambda_weight,mean_ale_m,mean_recall_at_k,mean_ndcg_at_k,mean_gen_f1,mean_citation_correctness
gpt-oss-120b,5.0,0.8,394.1,0.5308,0.499,0.3805,0.6108
gpt-oss-120b,5.0,0.85,394.1,0.5275,0.5004,0.3712,0.57
gpt-oss-120b,5.0,0.9,394.1,0.53,0.5046,0.3669,0.5977
gpt-oss-120b,10.0,0.8,395.9,0.4875,0.4664,0.372,0.575
gpt-oss-120b,10.0,0.85,395.67,0.51,0.4913,0.3657,0.5635
gpt-oss-120b,10.0,0.9,395.9,0.5125,0.4808,0.3778,0.5708
gpt-oss-120b,15.0,0.8,396.57,0.5158,0.4746,0.3709,0.5682
gpt-oss-120b,15.0,0.85,396.8,0.5125,0.4946,0.3596,0.5913
gpt-oss-120b,15.0,0.9,396.57,0.51,0.4871,0.3638,0.5515
