model_name,epsilon,lambda_weight,mean_ale_m,mean_recall_at_k,mean_ndcg_at_k,mean_gen_f1,mean_citation_correctness
Meta-Llama-3.3-70B-Instruct,1.0,0.7,387.5,0.5112,0.474,0.2451,0.625
Meta-Llama-3.3-70B-Instruct,1.0,0.8,376.35,0.5684,0.5329,0.2603,0.6182
Meta-Llama-3.3-70B-Instruct,2.0,0.7,388.17,0.4891,0.4652,0.2632,0.6052
Meta-Llama-3.3-70B-Instruct,2.0,0.8,389.28,0.5463,0.509,0.2561,0.6092
Meta-Llama-3.3-70B-Instruct,5.0,0.7,396.53,0.4899,0.4598,0.2649,0.5938
Meta-Llama-3.3-70B-Instruct,5.0,0.8,396.53,0.5438,0.5097,0.2604,0.6147
