model_name,retriever,epsilon,lambda_weight,mean_ale_m,mean_recall_at_k,mean_ndcg_at_k,mean_gen_f1,mean_citation_correctness
Meta-Llama-3.3-70B-Instruct,bge-base,1.0,0.7,367.82,0.4366,0.4142,0.257,0.5689
Meta-Llama-3.3-70B-Instruct,bge-base,1.0,0.8,381.3,0.4503,0.4245,0.2448,0.5797
Meta-Llama-3.3-70B-Instruct,bge-base,2.0,0.7,388.09,0.4158,0.3873,0.2665,0.5646
Meta-Llama-3.3-70B-Instruct,bge-base,2.0,0.8,384.79,0.4708,0.4411,0.2725,0.6013
Meta-Llama-3.3-70B-Instruct,bge-base,5.0,0.7,396.53,0.4091,0.3881,0.2688,0.5557
Meta-Llama-3.3-70B-Instruct,bge-base,5.0,0.8,396.08,0.4606,0.4253,0.2607,0.5932
