model_name,retriever,epsilon,lambda_weight,mean_ale_m,mean_recall_at_k,mean_ndcg_at_k,mean_gen_f1,mean_citation_correctness
gemma-3-12b-it,bge-base,1.0,0.7,365.67,0.4357,0.4095,0.3928,0.5323
gemma-3-12b-it,bge-base,1.0,0.8,392.32,0.4587,0.4263,0.4034,0.5562
gemma-3-12b-it,bge-base,2.0,0.7,395.67,0.4189,0.3966,0.3916,0.5279
gemma-3-12b-it,bge-base,2.0,0.8,376.79,0.4641,0.439,0.4015,0.5616
gemma-3-12b-it,bge-base,5.0,0.7,394.37,0.4263,0.4006,0.3946,0.5429
gemma-3-12b-it,bge-base,5.0,0.8,398.78,0.447,0.4197,0.4006,0.5439
